nom,masse,rayon,rayonOrbite,periodeOrbite,type
11 Comae Berenices b,6169.2,75503.88,1.29,0.8925394,Gas Giant
11 Ursae Minoris b,4687.32,76202.99,1.53,1.4,Gas Giant
14 Andromedae b,1526.3999999999999,80397.65,0.83,0.5086927,Gas Giant
14 Herculis b,2588.14158,78300.32,2.773069,4.8,Gas Giant
16 Cygni B b,566.04,83893.2,1.66,2.2,Gas Giant
17 Scorpii b,1373.76,80397.65,1.45,1.6,Gas Giant
18 Delphini b,3275.4,77601.21,2.6,2.7,Gas Giant
1RXS J160929.1-210524 b,2544.0,116331.904,330.0,6505.9,Gas Giant
24 Bootis b,289.38,86689.64,0.19,0.08323066,Gas Giant
24 Sextantis b,632.82,83194.09,1.333,1.2396988,Gas Giant
24 Sextantis c,273.48,86689.64,2.08,2.4,Gas Giant
2M0437 b,1272.0,81096.76,118.0,3110.6,Gas Giant
2MASS J01033563-5515561 AB b,4134.0,76902.1,84.0,1767.2,Gas Giant
2MASS J01225093-2439505 b,7791.0,69911.0,52.0,593.2,Gas Giant
2MASS J02192210-3925225 b,4420.2,100671.84,156.0,5878.1,Gas Giant
2MASS J04414489+2301513 b,2385.0,78999.43,15.0,411.0,Gas Giant
2MASS J12073346-3932539 b,1590.0,80397.65,55.0,2885.9,Gas Giant
2MASS J19383260+4603591 b,604.1999999999999,83893.2,0.92,1.1115674,Gas Giant
2MASS J22362452+4751425 b,3975.0,76902.1,230.0,4505.7,Gas Giant
30 Arietis B b,4394.76,76902.1,0.99,0.9174538,Gas Giant
42 Draconis b,1233.84,81096.76,1.19,1.3117043,Gas Giant
47 Ursae Majoris b,804.54,82494.98,2.1,3.0,Gas Giant
47 Ursae Majoris c,171.72,88786.97,3.6,6.6,Gas Giant
47 Ursae Majoris d,521.52,83893.2,11.6,38.4,Gas Giant
4 Ursae Majoris b,2257.7999999999997,78999.43,0.87,0.7373032,Gas Giant
51 Eridani b,636.0,83194.09,13.2,32.0,Gas Giant
51 Pegasi b,146.28,88786.97,0.0527,0.011498973,Gas Giant
55 Cancri b,264.1308,86689.64,0.1134,0.040246405,Gas Giant
55 Cancri c,54.5052,53132.36,0.2373,0.12156058,Gas Giant
55 Cancri d,1233.204,81096.76,5.957,15.3,Gas Giant
55 Cancri e,7.99,11945.625,0.01544,0.0019164955,Super Earth
55 Cancri f,44.837999999999994,47329.747,0.7708,0.7115674,Gas Giant
61 Virginis b,5.1,13442.81,0.050201,0.011498973,Neptune-like
61 Virginis c,18.2,27824.578,0.2175,0.10403833,Neptune-like
61 Virginis d,22.9,31879.416,0.476,0.33675563,Neptune-like
6 Lyncis b,639.18,83194.09,2.11,2.6,Gas Giant
70 Virginis b,2381.82,78999.43,0.481,0.31950718,Gas Giant
75 Ceti b,954.0,81795.87,2.1,1.9,Gas Giant
7 Canis Majoris b,588.3000000000001,83893.2,1.758,2.0,Gas Giant
7 Canis Majoris c,276.66,86689.64,2.153,2.7,Gas Giant
81 Ceti b,1685.3999999999999,79698.54,2.5,2.6,Gas Giant
8 Ursae Minoris b,416.58000000000004,85291.42,0.49,0.25571528,Gas Giant
91 Aquarii b,1017.6,81795.87,0.7,0.4966461,Gas Giant
AB Aurigae b,2862.0,78300.32,93.9,587.7,Gas Giant
AB Pictoris b,4293.0,76902.1,260.0,4421.7,Gas Giant
Alpha Arietis b,572.4,83893.2,1.2,1.0425736,Gas Giant
Alpha Tauri b,2057.46,78999.43,1.46,1.7,Gas Giant
AU Microscopii b,20.12,25377.693,0.0645,0.023271732,Neptune-like
AU Microscopii c,9.6,20204.279,0.1101,0.051745377,Neptune-like
b Centauri AB b,3466.2000000000003,77601.21,556.0,4904.1,Gas Giant
BD-00 4475 b,7965.900000000001,74804.77,1.48,2.0,Gas Giant
BD+03 2562 b,2035.2,78999.43,1.3,1.3193703,Gas Giant
BD-06 1339 b,8.5,17757.394,0.0428,0.010677618,Neptune-like
BD-06 1339 c,54.06,52223.517,0.435,0.34469542,Gas Giant
BD-08 2823 b,12.7132,22511.342,0.06,0.015331964,Neptune-like
BD-08 2823 c,104.94000000000001,77601.21,0.68,0.65051335,Gas Giant
BD-10 3166 b,187.61999999999998,88087.86,0.04,0.009582478,Gas Giant
BD-11 4672 b,206.70000000000002,87388.75,2.36,4.5,Gas Giant
BD-11 4672 c,15.37,25167.96,0.3,0.20314851,Neptune-like
BD-13 2130 b,3110.04,77601.21,1.66,2.0,Gas Giant
BD+14 4559 b,330.72,85990.53,0.78,0.7362081,Gas Giant
BD+15 2375 b,337.39799999999997,85990.53,0.576,0.41943872,Gas Giant
BD+15 2940 b,352.98,85990.53,0.539,0.37645447,Gas Giant
BD-17 63 b,1621.8,80397.65,1.34,1.8,Gas Giant
BD+20 2457 b,17677.620000000003,72008.33,1.05,1.0392882,Gas Giant
BD+20 2457 c,3965.46,76902.1,2.01,1.7,Gas Giant
BD+20 274 b,1335.6000000000001,81096.76,1.3,1.6,Gas Giant
BD+20 594 b,22.2481,16079.53,0.241,0.11416838,Neptune-like
BD+45 564 b,432.48,84592.31,0.83,0.84298426,Gas Giant
BD+48 738 b,289.38,86689.64,1.0,1.0748802,Gas Giant
BD+48 740 b,540.6,83893.2,1.7,2.0,Gas Giant
BD+49 828 b,508.8,84592.31,4.2,7.1,Gas Giant
BD+55 362 b,228.95999999999998,87388.75,0.78,0.7271732,Gas Giant
BD+60 1417 b,4770.0,91583.41,1662.0,67794.6,Gas Giant
BD+63 1405 b,1259.28,81096.76,2.06,3.3,Gas Giant
Beta Cancri b,2480.4,78300.32,1.7,1.7,Gas Giant
Beta Pictoris b,3731.13534,115353.15,10.019926,23.6,Gas Giant
Beta Pictoris c,3224.8761600000003,77601.21,2.680483,3.3,Gas Giant
Beta Ursae Minoris b,1939.8,79698.54,1.4,1.4,Gas Giant
CD Ceti b,3.95,11595.220000000001,0.0185,0.0062970566,Super Earth
CFBDSIR J145829+101343 b,3339.0,77601.21,2.6,27.5,Gas Giant
CFHTWIR-Oph 98 b,2480.4,130034.46,200.0,22027.4,Gas Giant
CHXR 73 b,3996.9420000000005,76902.1,210.0,5146.9,Gas Giant
COCONUTS-2 b,2003.3999999999999,77601.21,7506.0,1101369.9,Gas Giant
CoRoT-10 b,874.5,67813.67,0.1055,0.03613963,Gas Giant
CoRoT-11 b,740.94,99972.73,0.0436,0.008213553,Gas Giant
CoRoT-12 b,291.606,100671.84,0.04016,0.007665982,Gas Giant
CoRoT-13 b,415.944,61871.235,0.051,0.0109514035,Gas Giant
CoRoT-14 b,2416.7999999999997,76202.99,0.027,0.0041067763,Gas Giant
CoRoT-16 b,170.13000000000002,81795.87,0.0618,0.014784395,Gas Giant
CoRoT-17 b,772.74,71309.22,0.0461,0.010403832,Gas Giant
CoRoT-18 b,1103.46,91583.41,0.0295,0.005201916,Gas Giant
CoRoT-19 b,352.98,90185.19,0.0518,0.010677618,Gas Giant
CoRoT-1 b,327.54,104167.39,0.02752,0.0041067763,Gas Giant
CoRoT-20 b,1367.3999999999999,58725.24,0.09,0.025188226,Gas Giant
CoRoT-20 c,5406.0,76202.99,2.9,4.6,Gas Giant
CoRoT-21 b,718.68,90884.3,0.0417,0.0073921974,Gas Giant
CoRoT-22 b,12.2,30411.285,0.092,0.026830938,Neptune-like
CoRoT-23 b,890.4,73406.55,0.048,0.009856262,Gas Giant
CoRoT-24 b,5.7,23070.63,0.056,0.013963039,Neptune-like
CoRoT-24 c,28.0,30760.84,0.098,0.03230664,Neptune-like
CoRoT-25 b,85.86,75503.88,0.0578,0.013415469,Gas Giant
CoRoT-26 b,165.36,88087.86,0.0526,0.011498973,Gas Giant
CoRoT-27 b,3304.02,70400.377,0.0476,0.009856262,Gas Giant
CoRoT-28 b,153.912,66765.00499999999,0.0603,0.014236824,Gas Giant
CoRoT-29 b,270.3,62919.9,0.0386,0.007939767,Gas Giant
CoRoT-2 b,1103.46,102489.526,0.02798,0.0046543465,Gas Giant
CoRoT-30 b,922.1999999999999,70540.199,0.0844,0.024914443,Gas Giant
CoRoT-31 b,267.12,102070.06,0.0586,0.012594113,Gas Giant
CoRoT-35 b,349.8,117450.48,0.0429,0.008761123,Gas Giant
CoRoT-36 b,216.24,98574.51,0.066,0.015331964,Gas Giant
CoRoT-3 b,6887.88,70610.11,0.05783,0.011772759,Gas Giant
CoRoT-4 b,228.95999999999998,83194.09,0.09,0.025188226,Gas Giant
CoRoT-5 b,148.506,97036.468,0.04947,0.0109514035,Gas Giant
CoRoT-6 b,941.28,81516.226,0.0855,0.02436687,Gas Giant
CoRoT-7 b,4.07661,10709.651,0.017016,0.0024640656,Super Earth
CoRoT-7 c,8.4,17687.483,0.046,0.010130048,Neptune-like
CoRoT-8 b,69.96,39849.27,0.063,0.016974675,Gas Giant
CoRoT-9 b,267.12,74525.126,0.4021,0.2609172,Gas Giant
CoRoTID 223977153 b,47.699999999999996,39849.27,0.071,0.0183436,Gas Giant
CT Chamaleontis b,5406.0,153804.2,440.0,0.99931556,Gas Giant
DE Canum Venaticorum b,3825.3174,76902.1,5.75,11.2,Gas Giant
DENIS-P J082303.1-491201 b,9063.0,74105.66,0.36,0.67460644,Gas Giant
DH Tauri b,3498.0,188759.7,330.0,10441.5,Gas Giant
DMPP-1 b,24.27,32997.992,0.1462,0.050924025,Neptune-like
DMPP-1 c,9.6,19085.703,0.0733,0.018069815,Neptune-like
DMPP-1 d,3.35,10512.15,0.0422,0.007939767,Super Earth
DMPP-1 e,4.13,11850.060000000001,0.0651,0.015058179,Super Earth
DMPP-2 b,138.966,89486.08,0.0664,0.014236824,Gas Giant
DMPP-3 A b,2.58,8983.109999999999,0.0662,0.0183436,Super Earth
DP Leonis b,1997.0400000000002,79698.54,8.19,28.0,Gas Giant
EPIC 201170410.02,1.15,6670.437,0.0349,0.018617386,Super Earth
EPIC 201757695.02,0.688,5784.868,0.0296,0.0054757018,Terrestrial
EPIC 201841433 b,1.12,6625.84,0.035,0.011498973,Super Earth
EPIC 211822797 b,4.35,12232.32,0.1195,0.05804244,Super Earth
EPIC 211945201 b,27.0,35934.254,0.1493,0.05338809,Neptune-like
EPIC 212737443 b,7.2,16149.441,0.098,0.037234772,Neptune-like
EPIC 212737443 c,7.7,16778.64,0.28,0.17960301,Neptune-like
EPIC 220674823 b,7.72,10193.6,0.01312,0.0016427105,Super Earth
EPIC 220674823 c,5.8,14016.2,0.1091,0.036413416,Neptune-like
EPIC 246851721 b,954.0,73476.461,0.07229,0.016974675,Gas Giant
EPIC 248847494 b,4134.0,77601.21,4.5,10.0,Gas Giant
EPIC 249893012 b,8.75,12423.449999999999,0.047,0.009856262,Super Earth
EPIC 249893012 c,14.67,22860.897,0.13,0.042710472,Neptune-like
EPIC 249893012 d,10.18,24608.672,0.22,0.097741276,Neptune-like
Epsilon Coronae Borealis b,2130.6,78999.43,1.3,1.1441479,Gas Giant
Epsilon Eridani b,209.88000000000002,87388.75,3.53,7.3,Gas Giant
Epsilon Indi A b,1033.5,81795.87,11.55,45.2,Gas Giant
Epsilon Tauri b,2416.7999999999997,78999.43,1.93,1.6,Gas Giant
FU Tauri b,5088.0,76202.99,800.0,101250.8,Gas Giant
G 264-012 b,2.5,8855.689999999999,0.02279,0.0062970566,Super Earth
G 264-012 c,3.75,11212.960000000001,0.0525,0.022176592,Super Earth
G 9-40 b,4.76,12901.275,0.0385,0.015605749,Super Earth
Gaia-1 b,534.24,85920.619,0.04047,0.008487337,Gas Giant
Gaia-2 b,259.806,92422.342,0.0467,0.010130048,Gas Giant
gam1 Leonis b,2792.04,78300.32,1.19,1.173169,Gas Giant
Gamma Cephei b,2989.2000000000003,78300.32,2.05,2.5,Gas Giant
Gamma Librae b,324.36,85990.53,1.24,1.1367557,Gas Giant
Gamma Librae c,1456.44,80397.65,2.17,2.6,Gas Giant
Gamma Piscium b,426.12,85291.42,1.32,1.5,Gas Giant
GJ 1002 b,1.08,6562.13,0.0457,0.028199865,Super Earth
GJ 1002 c,1.36,7008.1,0.0738,0.05804244,Super Earth
GJ 1061 b,1.37,7008.1,0.021,0.008761123,Super Earth
GJ 1061 c,1.74,7517.78,0.035,0.0183436,Super Earth
GJ 1061 d,1.64,7390.36,0.054,0.03559206,Super Earth
GJ 1132 b,1.66,7199.23,0.0153,0.0043805614,Super Earth
GJ 1132 c,2.64,9110.529999999999,0.0476,0.02436687,Super Earth
GJ 1148 b,96.75150000000001,74804.77,0.166,0.113347024,Gas Giant
GJ 1148 c,68.09652,60542.926,0.912,1.5,Gas Giant
GJ 1151 c,10.62,20274.19,0.5714,1.0669404,Neptune-like
GJ 1214 b,8.17,17128.195,0.0149,0.0043805614,Neptune-like
GJ 1252 b,1.32,7517.78,0.00915,0.0013689254,Super Earth
GJ 1265 b,7.4,16359.174,0.026,0.010130048,Neptune-like
GJ 143 b,22.7,16289.263,0.1915,0.09746748,Neptune-like
GJ 15 A b,3.03,9875.050000000001,0.072,0.031211497,Super Earth
GJ 15 A c,36.0,41597.045,5.4,20.8,Neptune-like
GJ 160.2 b,10.2,19784.813,0.053,0.014236824,Neptune-like
GJ 163 b,10.6,20274.19,0.0607,0.023545519,Neptune-like
GJ 163 c,6.8,15590.153,0.1254,0.07008898,Neptune-like
GJ 163 d,29.4,36913.008,1.0304,1.7,Neptune-like
GJ 179 b,260.76,86689.64,2.41,6.3,Gas Giant
GJ 180 b,6.49,15170.687,0.092,0.04681725,Neptune-like
GJ 180 c,6.4,15030.865,0.129,0.06652977,Neptune-like
GJ 180 d,7.56,16568.907,0.309,0.29103354,Neptune-like
GJ 2030 b,4.59248,12614.58,0.034411,0.006570842,Super Earth
GJ 2030 c,4070.0438400000003,76902.1,16.763449,70.0,Gas Giant
GJ 2056 b,16.2,26006.892,0.283,0.19164956,Neptune-like
GJ 229 A c,8.57613,17897.216,0.384214,0.33374402,Neptune-like
GJ 229 b,14.85045,24678.583,1.086215,1.6,Neptune-like
GJ 251 b,4.0,11658.93,0.0818,0.03887748,Super Earth
GJ 27.1 b,13.0,22860.897,0.101,0.04325804,Neptune-like
GJ 273 b,2.89,9620.210000000001,0.091101,0.050924025,Super Earth
GJ 273 c,1.18,6753.26,0.036467,0.012867898,Super Earth
GJ 3021 b,1071.66,81795.87,0.49,0.36605063,Gas Giant
GJ 3082 b,8.2,17407.839,0.079,0.032580424,Neptune-like
GJ 3090 b,3.34,13570.23,0.03165,0.007939767,Neptune-like
GJ 3138 b,1.78,7517.78,0.0197,0.003285421,Super Earth
GJ 3138 c,4.18,11977.48,0.057,0.016427105,Super Earth
GJ 3138 d,10.5,20134.368,0.698,0.7058179,Neptune-like
GJ 317 b,795.0,82494.98,1.151,1.9,Gas Giant
GJ 317 c,522.77928,83893.2,5.23,18.5,Gas Giant
GJ 3222 b,11.73969,21532.588,0.091179,0.029295003,Neptune-like
GJ 328 b,731.4,83194.09,4.5,11.2,Gas Giant
GJ 3293 b,23.54,32368.793,0.14339,0.08377823,Neptune-like
GJ 3293 c,21.09,30341.374,0.36175,0.33566052,Neptune-like
GJ 3293 d,7.6,16638.818,0.19394,0.13169062,Neptune-like
GJ 3293 e,3.28,10384.73,0.08208,0.036413416,Super Earth
GJ 3323 b,2.02,7836.33,0.03282,0.014784395,Super Earth
GJ 3323 c,2.31,8409.720000000001,0.1264,0.11088296,Super Earth
GJ 3341 b,6.6,15310.509,0.089,0.03887748,Neptune-like
GJ 338 B b,10.6,20274.19,0.142,0.06680356,Neptune-like
GJ 3470 b,13.9,28523.688,0.0355,0.009034907,Neptune-like
GJ 3473 b,1.86,8052.944,0.01589,0.003285421,Super Earth
GJ 3473 c,7.41,16429.085,0.0876,0.042436685,Neptune-like
GJ 3512 b,146.28,88786.97,0.337,0.5577002,Gas Giant
GJ 3512 c,63.6,58165.952,1.292,4.4,Gas Giant
GJ 357 b,1.84,7753.5070000000005,0.035,0.010677618,Super Earth
GJ 357 c,3.4,10575.859999999999,0.061,0.024914443,Super Earth
GJ 357 d,6.1,14611.399,0.204,0.15249829,Neptune-like
GJ 3634 b,8.4,17687.483,0.0287,0.007118412,Neptune-like
GJ 367 b,0.546,4574.378,0.0071,0.00082135526,Terrestrial
GJ 3779 b,8.0,17128.195,0.026,0.008213553,Neptune-like
GJ 3929 b,1.75,6944.39,0.0252,0.007118412,Super Earth
GJ 3929 c,5.71,14052.111,0.081,0.04106776,Neptune-like
GJ 393 b,1.71,7454.07,0.05402,0.019164955,Super Earth
GJ 3942 b,7.14,16009.619,0.0608,0.01889117,Neptune-like
GJ 3998 b,2.47,8791.98,0.029,0.007118412,Super Earth
GJ 3998 c,6.26,14821.132,0.089,0.037508555,Neptune-like
GJ 411 b,2.69,9237.949999999999,0.07879,0.035318274,Super Earth
GJ 414 A b,7.6,16429.085,0.2324,0.13908282,Neptune-like
GJ 414 A c,53.85966,52363.339,1.4,2.1,Gas Giant
GJ 422 b,11.07,20763.567,0.111,0.0550308,Neptune-like
GJ 4276 b,16.57,26356.447,0.082,0.0366872,Neptune-like
GJ 433 b,6.043,14541.488,0.062,0.020260096,Neptune-like
GJ 433 c,32.422,39150.16,4.819,14.0,Neptune-like
GJ 433 d,5.223,13633.94,0.178,0.09883641,Neptune-like
GJ 436 b,22.1,26006.892,0.0291,0.007118412,Neptune-like
GJ 480 b,13.2,23070.63,0.068,0.026283368,Neptune-like
GJ 486 b,2.82,8314.154999999999,0.01734,0.0041067763,Super Earth
GJ 504 b,1272.0,81096.76,43.5,259.9,Gas Giant
GJ 514 b,5.2,13570.23,0.422,0.38439423,Neptune-like
GJ 536 b,5.36,13825.07,0.06661,0.023819301,Neptune-like
GJ 581 b,15.8,25587.426,0.04061,0.014784395,Neptune-like
GJ 581 c,5.5,14079.91,0.0721,0.035318274,Neptune-like
GJ 581 e,1.7,7454.07,0.02815,0.008487337,Super Earth
GJ 625 b,2.82,9492.789999999999,0.078361,0.039972622,Super Earth
GJ 649 b,104.304,77601.21,1.135,1.6,Gas Giant
GJ 667 C b,5.6,14207.33,0.0505,0.019712524,Neptune-like
GJ 667 C c,3.8,11276.67,0.125,0.07693361,Super Earth
GJ 667 C e,2.7,9237.949999999999,0.213,0.17029431,Super Earth
GJ 667 C f,2.7,9237.949999999999,0.156,0.10677618,Super Earth
GJ 667 C g,4.6,12678.289999999999,0.549,0.7014374,Super Earth
GJ 674 b,11.09,20763.567,0.039,0.012867898,Neptune-like
GJ 676 A b,1838.0018400000001,79698.54,1.734535,2.9,Gas Giant
GJ 676 A c,4273.3158,76902.1,9.67808,38.1,Gas Giant
GJ 676 A d,3.79832,11276.67,0.039322,0.009856262,Super Earth
GJ 676 A e,6.69167,15450.331,0.180707,0.0971937,Neptune-like
GJ 680 b,7769.1375,74804.77,10.121898,47.3,Gas Giant
GJ 682 b,4.4,12296.029999999999,0.08,0.04791239,Super Earth
GJ 682 c,8.7,18037.038,0.176,0.15687884,Neptune-like
GJ 685 b,9.0,18386.593,0.1344,0.066255994,Neptune-like
GJ 687 b,17.2,26915.735,0.163,0.104312114,Neptune-like
GJ 687 c,16.0,25797.159,1.165,2.0,Neptune-like
GJ 720 A b,13.64,23490.096,0.119,0.05338809,Neptune-like
GJ 740 b,2.96,9747.630000000001,0.029,0.006570842,Super Earth
GJ 832 b,216.24,87388.75,3.56,10.0,Gas Giant
GJ 849 b,286.2,86689.64,2.409,5.2,Gas Giant
GJ 849 c,223.236,87388.75,4.974,19.4,Gas Giant
GJ 86 b,1405.56,80397.65,0.11,0.04325804,Gas Giant
GJ 876 b,723.6407999999999,83194.09,0.208317,0.16728269,Gas Giant
GJ 876 c,227.11559999999997,87388.75,0.12959,0.08240931,Gas Giant
GJ 876 d,6.83,15660.064,0.020807,0.005201916,Neptune-like
GJ 876 e,14.6,24468.85,0.3343,0.34031487,Neptune-like
GJ 887 b,4.2,11977.48,0.068,0.025462013,Super Earth
GJ 887 c,7.6,16638.818,0.12,0.059685145,Neptune-like
GJ 896 A b,718.68,83194.09,0.63965,0.77864474,Gas Giant
GJ 9066 c,66.78,59843.816,0.88,2.1,Gas Giant
GJ 9689 b,9.65,19155.614,0.1139,0.050102666,Neptune-like
GJ 96 b,19.66,29152.887,0.291,0.20232718,Neptune-like
GJ 9714 b,3052.8922199999997,77601.21,12.341073,52.7,Gas Giant
GJ 9827 b,4.91,10047.067,0.0188,0.003285421,Super Earth
GJ 9827 c,0.84,7906.411000000001,0.03925,0.009856262,Super Earth
GJ 9827 d,4.04,12882.161999999998,0.05591,0.016974675,Neptune-like
Gl 378 b,13.02,22860.897,0.039435,0.010403832,Neptune-like
Gl 49 b,5.63,13982.2,0.0905,0.038056124,Neptune-like
Gl 686 b,6.624,15380.42,0.091,0.042436685,Neptune-like
GPX-1 b,6264.599999999999,102769.17,0.0338,0.0046543465,Gas Giant
GQ Lupi b,6360.0,209733.0,100.0,1195.9,Gas Giant
GSC 06214-00210 b,5088.0,125839.8,320.0,6037.4,Gas Giant
GU Piscium b,3593.4,88437.415,2000.0,155788.8,Gas Giant
HAT-P-11 b,26.69772,27195.379,0.05254,0.013415469,Neptune-like
HAT-P-11 c,731.4,83194.09,4.13,9.3,Gas Giant
HAT-P-12 b,67.098,67044.64899999999,0.0384,0.008761123,Gas Giant
HAT-P-13 b,270.618,88926.792,0.04383,0.007939767,Gas Giant
HAT-P-13 c,4541.04,76902.1,1.258,1.2219027,Gas Giant
HAT-P-14 b,1093.92,99273.62,0.0596,0.012594113,Gas Giant
HAT-P-15 b,616.92,74105.66,0.0965,0.029842572,Gas Giant
HAT-P-16 b,1333.3739999999998,90115.279,0.0413,0.007665982,Gas Giant
HAT-P-17 b,184.44,73406.55,0.0882,0.028199865,Gas Giant
HAT-P-17 c,1081.2,81795.87,5.6,15.3,Gas Giant
HAT-P-18 b,62.646,69561.44499999999,0.0559,0.015058179,Gas Giant
HAT-P-19 b,92.856,79139.252,0.0466,0.0109514035,Gas Giant
HAT-P-1 b,166.95000000000002,92212.609,0.05561,0.0123203285,Gas Giant
HAT-P-20 b,2304.228,60612.837,0.0361,0.007939767,Gas Giant
HAT-P-21 b,1548.66,77601.21,0.0494,0.011225188,Gas Giant
HAT-P-22 b,785.46,80397.65,0.0414,0.008761123,Gas Giant
HAT-P-23 b,426.12,76202.99,0.0232,0.003285421,Gas Giant
HAT-P-24 b,238.5,90884.3,0.04651,0.009308693,Gas Giant
HAT-P-25 b,180.94199999999998,79348.985,0.0466,0.010130048,Gas Giant
HAT-P-26 b,22.2481,44043.93,0.0479,0.011498973,Neptune-like
HAT-P-27 b,197.16,71309.22,0.04,0.008213553,Gas Giant
HAT-P-28 b,199.068,84732.132,0.0434,0.009034907,Gas Giant
HAT-P-29 b,279.84,81795.87,0.0667,0.015605749,Gas Giant
HAT-P-2 b,2766.6,66485.36099999999,0.06814,0.015331964,Gas Giant
HAT-P-30 b,263.94,100671.84,0.0419,0.007665982,Gas Giant
HAT-P-31 b,721.86,76202.99,0.061,0.0136892535,Gas Giant
HAT-P-32 b,216.24,138423.78,0.03397,0.006023272,Gas Giant
HAT-P-33 b,292.56,129335.35,0.04995,0.009582478,Gas Giant
HAT-P-34 b,1058.94,83683.467,0.06774,0.015058179,Gas Giant
HAT-P-35 b,335.808,93121.452,0.04978,0.009856262,Gas Giant
HAT-P-36 b,587.7276,89276.347,0.0241,0.003559206,Gas Giant
HAT-P-37 b,371.742,82355.158,0.0379,0.007665982,Gas Giant
HAT-P-38 b,84.906,57676.575,0.0523,0.012594113,Gas Giant
HAT-P-39 b,190.482,109830.181,0.0509,0.009582478,Gas Giant
HAT-P-3 b,206.70000000000002,65716.34,0.03866,0.007939767,Gas Giant
HAT-P-40 b,152.64,106264.72,0.0608,0.0123203285,Gas Giant
HAT-P-41 b,378.41999999999996,143317.55,0.04258,0.0073921974,Gas Giant
HAT-P-42 b,331.992,89486.08,0.0575,0.012594113,Gas Giant
HAT-P-43 b,210.51600000000002,85011.776,0.0444,0.009034907,Gas Giant
HAT-P-44 b,111.93599999999999,86829.462,0.0507,0.011772759,Gas Giant
HAT-P-44 c,1272.0,81096.76,1.752,2.4,Gas Giant
HAT-P-45 b,283.656,99693.086,0.0452,0.008487337,Gas Giant
HAT-P-46 b,156.774,89765.724,0.0577,0.0123203285,Gas Giant
HAT-P-49 b,699.6,111158.49,0.04378,0.0073921974,Gas Giant
HAT-P-4 b,213.37800000000001,89066.614,0.04438,0.008487337,Gas Giant
HAT-P-50 b,429.3,90045.368,0.0453,0.008487337,Gas Giant
HAT-P-51 b,98.262,90394.923,0.05069,0.011498973,Gas Giant
HAT-P-52 b,260.12399999999997,70540.199,0.03694,0.007665982,Gas Giant
HAT-P-53 b,471.912,92142.698,0.03159,0.0054757018,Gas Giant
HAT-P-54 b,241.68,65995.984,0.04117,0.010403832,Gas Giant
HAT-P-55 b,185.076,82634.802,0.04604,0.009856262,Gas Giant
HAT-P-56 b,734.58,105565.61,0.0423,0.007665982,Gas Giant
HAT-P-57 b,448.38,121645.14,0.0406,0.0068446267,Gas Giant
HAT-P-58 b,118.29599999999999,93121.452,0.04994,0.0109514035,Gas Giant
HAT-P-59 b,489.72,78510.053,0.05064,0.011225188,Gas Giant
HAT-P-5 b,311.64,84592.31,0.04073,0.007665982,Gas Giant
HAT-P-60 b,182.53199999999998,114024.841,0.06277,0.013141684,Gas Giant
HAT-P-61 b,336.126,62849.989,0.0301,0.005201916,Gas Giant
HAT-P-62 b,241.998,75014.503,0.03772,0.007118412,Gas Giant
HAT-P-63 b,195.252,78230.409,0.04294,0.009308693,Gas Giant
HAT-P-64 b,184.44,119058.433,0.05387,0.0109514035,Gas Giant
HAT-P-65 b,167.586,132131.78999999998,0.03951,0.007118412,Gas Giant
HAT-P-66 b,248.994,111158.49,0.04363,0.008213553,Gas Giant
HAT-P-67 b,108.12,145764.435,0.06505,0.013141684,Gas Giant
HAT-P-68 b,230.232,74944.592,0.02996,0.0062970566,Gas Giant
HAT-P-69 b,1138.44,117170.836,0.06555,0.013141684,Gas Giant
HAT-P-6 b,419.76000000000005,103468.28,0.05239,0.010677618,Gas Giant
HAT-P-70 b,2156.04,130733.57,0.04739,0.0073921974,Gas Giant
HAT-P-7 b,585.12,105565.61,0.03676,0.006023272,Gas Giant
HAT-P-8 b,407.04,97875.4,0.04496,0.008487337,Gas Giant
HAT-P-9 b,238.182,97386.023,0.05287,0.010677618,Gas Giant
HATS-10 b,167.268,67743.75899999999,0.04491,0.009034907,Gas Giant
HATS-11 b,263.94,112486.799,0.0507,0.009856262,Gas Giant
HATS-12 b,760.0200000000001,48378.412,0.0441,0.008487337,Gas Giant
HATS-13 b,172.674,84732.132,0.04057,0.008213553,Gas Giant
HATS-14 b,340.578,72637.529,0.03815,0.007665982,Gas Giant
HATS-15 b,690.06,77251.655,0.02712,0.0046543465,Gas Giant
HATS-16 b,1039.86,90884.3,0.03744,0.0073921974,Gas Giant
HATS-17 b,425.48400000000004,54320.847,0.1308,0.044626966,Gas Giant
HATS-18 b,629.481,92911.719,0.0174,0.0021902807,Gas Giant
HATS-1 b,589.89,91024.122,0.0444,0.009308693,Gas Giant
HATS-22 b,871.32,66625.18299999999,0.05025,0.012867898,Gas Giant
HATS-23 b,467.46,130034.46,0.03397,0.006023272,Gas Giant
HATS-24 b,718.68,97525.845,0.0238,0.003559206,Gas Giant
HATS-25 b,194.934,88087.86,0.05163,0.011772759,Gas Giant
HATS-26 b,206.70000000000002,122344.25,0.04735,0.009034907,Gas Giant
HATS-27 b,168.54000000000002,104866.5,0.0611,0.012594113,Gas Giant
HATS-28 b,213.69600000000003,83473.734,0.04131,0.008761123,Gas Giant
HATS-29 b,207.654,87458.661,0.05475,0.012594113,Gas Giant
HATS-2 b,427.71,81656.048,0.023,0.003832991,Gas Giant
HATS-30 b,224.50799999999998,82145.425,0.04354,0.008761123,Gas Giant
